name,country,rank,ranking_band,competitiveness,avg_tuition_usd
University of Patras,Greece,983,300+,VERY_LOW,20000
Anna University,India,984,300+,VERY_LOW,20000
Portland State University,United States,985,300+,VERY_LOW,40000
Siberian Federal University,Russian Federation,986,300+,VERY_LOW,20000
Delhi Technological University,India,987,300+,VERY_LOW,20000
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,Pakistan,988,300+,VERY_LOW,20000
Kazan Federal University,Russian Federation,989,300+,VERY_LOW,20000
National Veterinary School of Alfort (EnvA),France,990,300+,VERY_LOW,20000
"Amity University Rajasthan, Jaipur",India,991,300+,VERY_LOW,20000
Mahsa University,Malaysia,992,300+,VERY_LOW,20000
Kingston University,United Kingdom,992,300+,VERY_LOW,30000
Wakayama Medical University,Japan,994,300+,VERY_LOW,20000
École Centrale de Lyon,France,995,300+,VERY_LOW,20000
University of the Balearic Islands,Spain,996,300+,VERY_LOW,20000
German Jordanian University,Jordan,997,300+,VERY_LOW,20000
University of Foggia,Italy,998,300+,VERY_LOW,20000
Reichman University,Israel,999,300+,VERY_LOW,20000
Gabriele d‘Annunzio University,Italy,1000,300+,VERY_LOW,20000
IMT Nord Europe,France,1001,300+,VERY_LOW,20000
University of Cape Coast,Ghana,1002,300+,VERY_LOW,20000
Chungbuk National University,South Korea,1003,300+,VERY_LOW,20000
Jawaharlal Nehru Technological University Anantapur (JNTUA),India,1004,300+,VERY_LOW,20000
Delta University for Science and Technology,Egypt,1005,300+,VERY_LOW,20000
Lithuanian University of Health Sciences,Lithuania,1006,300+,VERY_LOW,20000
Indian Institute of Technology Ropar,India,1007,300+,VERY_LOW,20000
University of Colombo,Sri Lanka,1008,300+,VERY_LOW,20000
University of Hradec Králové,Czechia,1009,300+,VERY_LOW,20000
China Pharmaceutical University,China,1010,300+,VERY_LOW,20000
Tishk International University,Iraq,1011,300+,VERY_LOW,20000
University of Campania Luigi Vanvitelli,Italy,1012,300+,VERY_LOW,20000
University of Angers,France,1013,300+,VERY_LOW,20000
University of Girona,Spain,1014,300+,VERY_LOW,20000
Zagazig University,Egypt,1015,300+,VERY_LOW,20000
PMAS Arid Agriculture University Rawalpindi,Pakistan,1016,300+,VERY_LOW,20000
Universiti Malaysia Terengganu (UMT),Malaysia,1017,300+,VERY_LOW,20000
ITMO University,Russian Federation,1018,300+,VERY_LOW,20000
Islamic University of Madinah,Saudi Arabia,1019,300+,VERY_LOW,20000
"Arab Academy for Science, Technology and Maritime Transport",Egypt,1020,300+,VERY_LOW,20000
Hamadan University of Medical Sciences (UMSHA),Iran,1021,300+,VERY_LOW,20000
Kyoto Prefectural University of Medicine,Japan,1022,300+,VERY_LOW,20000
University of Hyderabad,India,1023,300+,VERY_LOW,20000
Indian Institute of Technology Gandhinagar,India,1024,300+,VERY_LOW,20000
Okayama University,Japan,1025,300+,VERY_LOW,20000
GLA University,India,1026,300+,VERY_LOW,20000
University of Memphis,United States,1027,300+,VERY_LOW,40000
Covenant University,Nigeria,1028,300+,VERY_LOW,20000
University of Kashan,Iran,1029,300+,VERY_LOW,20000
"University of the Andes, Colombia",Colombia,1030,300+,VERY_LOW,20000
University of Zaragoza,Spain,1031,300+,VERY_LOW,20000
Bangladesh University of Engineering and Technology,Bangladesh,1032,300+,VERY_LOW,20000
University of Rajshahi,Bangladesh,1033,300+,VERY_LOW,20000
Université Bourgogne Europe,France,1034,300+,VERY_LOW,20000
Universidade Federal de Santa Catarina,Brazil,1035,300+,VERY_LOW,20000
Yokohama City University,Japan,1036,300+,VERY_LOW,20000
University of Kurdistan,Iran,1037,300+,VERY_LOW,20000
Riphah International University,Pakistan,1038,300+,VERY_LOW,20000
ZHAW Zurich University of Applied Sciences,Switzerland,1039,300+,VERY_LOW,20000
University of Savoie Mont Blanc,France,1040,300+,VERY_LOW,20000
Institute for Advanced Studies in Basic Sciences (IASBS),Iran,1041,300+,VERY_LOW,20000
Tokyo Medical University,Japan,1042,300+,VERY_LOW,20000
University of Ghana,Ghana,1043,300+,VERY_LOW,20000
University of Sannio,Italy,1044,300+,VERY_LOW,20000
University of Murcia,Spain,1045,300+,VERY_LOW,20000
Chiang Mai University,Thailand,1046,300+,VERY_LOW,20000
Cochin University of Science and Technology,India,1047,300+,VERY_LOW,20000
University of Texas at El Paso,United States,1048,300+,VERY_LOW,40000
Lakehead University,Canada,1049,300+,VERY_LOW,25000
SRM Institute of Science and Technology,India,1050,300+,VERY_LOW,20000
Jashore University of Science and Technology,Bangladesh,1051,300+,VERY_LOW,20000
Tallinn University,Estonia,1052,300+,VERY_LOW,20000
Ming Chi University of Technology,Taiwan,1053,300+,VERY_LOW,20000
TU Bergakademie Freiberg,Germany,1054,300+,VERY_LOW,2000
Chiba University,Japan,1055,300+,VERY_LOW,20000
Florida Institute of Technology,United States,1055,300+,VERY_LOW,40000
The University of Haripur,Pakistan,1057,300+,VERY_LOW,20000
University of Chile,Chile,1058,300+,VERY_LOW,20000
Palacký University Olomouc,Czechia,1059,300+,VERY_LOW,20000
University of Camerino (Unicam),Italy,1060,300+,VERY_LOW,20000
Technische Universität Ilmenau,Germany,1061,300+,VERY_LOW,2000
BRAC University,Bangladesh,1062,300+,VERY_LOW,20000
University of Algarve,Portugal,1063,300+,VERY_LOW,20000
University of Lancashire,United Kingdom,1064,300+,VERY_LOW,30000
Shantou University,China,1065,300+,VERY_LOW,20000
University of Bucharest,Romania,1066,300+,VERY_LOW,20000
"University of Technology, Iraq",Iraq,1067,300+,VERY_LOW,20000
Florida Agricultural and Mechanical University,United States,1068,300+,VERY_LOW,40000
University of Belgrade,Serbia,1069,300+,VERY_LOW,20000
Ateneo de Manila University,Philippines,1070,300+,VERY_LOW,20000
Jaume I University,Spain,1071,300+,VERY_LOW,20000
European University of Madrid,Spain,1072,300+,VERY_LOW,20000
Gdańsk University of Technology,Poland,1073,300+,VERY_LOW,20000
Indian Institute of Technology Mandi,India,1074,300+,VERY_LOW,20000
CY Cergy Paris University,France,1075,300+,VERY_LOW,20000
University of East London,United Kingdom,1076,300+,VERY_LOW,30000
Shanghai Normal University,China,1077,300+,VERY_LOW,20000
Kaunas University of Technology,Lithuania,1078,300+,VERY_LOW,20000
Universidad Peruana Cayetano Heredia,Peru,1079,300+,VERY_LOW,20000
Universiti Sultan Zainal Abidin,Malaysia,1080,300+,VERY_LOW,20000
Shaqra University,Saudi Arabia,1081,300+,VERY_LOW,20000
University of Oviedo,Spain,1082,300+,VERY_LOW,20000
Hangzhou Normal University,China,1083,300+,VERY_LOW,20000
Technical University of Madrid,Spain,1084,300+,VERY_LOW,20000
University of Alicante,Spain,1085,300+,VERY_LOW,20000
University of Seoul,South Korea,1086,300+,VERY_LOW,20000
Kumamoto University,Japan,1087,300+,VERY_LOW,20000
Tashkent State Technical University,Uzbekistan,1088,300+,VERY_LOW,20000
Chungnam National University,South Korea,1089,300+,VERY_LOW,20000
University of la Costa,Colombia,1090,300+,VERY_LOW,20000
İstinye University,Turkey,1091,300+,VERY_LOW,20000
Edge Hill University,United Kingdom,1092,300+,VERY_LOW,30000
Jaypee University of Information Technology,India,1093,300+,VERY_LOW,20000
University of the Aegean,Greece,1094,300+,VERY_LOW,20000
University of Bedfordshire,United Kingdom,1095,300+,VERY_LOW,30000
Beni-Suef University,Egypt,1096,300+,VERY_LOW,20000
Taiz University,Yemen,1097,300+,VERY_LOW,20000
Khulna University of Engineering and Technology (KUET),Bangladesh,1098,300+,VERY_LOW,20000
University of Okara,Pakistan,1099,300+,VERY_LOW,20000
University of Latvia,Latvia,1100,300+,VERY_LOW,20000
"National Institute of Technology, Raipur",India,1101,300+,VERY_LOW,20000
University of Gloucestershire,United Kingdom,1102,300+,VERY_LOW,30000
University of Clermont Auvergne,France,1103,300+,VERY_LOW,20000
University of Castilla-La Mancha,Spain,1104,300+,VERY_LOW,20000
Central Michigan University,United States,1105,300+,VERY_LOW,40000
Datta Meghe Institute of Higher Education & Research (Deemed to be University),India,1106,300+,VERY_LOW,20000
Landmark University,Nigeria,1107,300+,VERY_LOW,20000
Mae Fah Luang University,Thailand,1108,300+,VERY_LOW,20000
Fujita Health University,Japan,1109,300+,VERY_LOW,20000
Nippon Medical School,Japan,1110,300+,VERY_LOW,20000
Montana State University,United States,1111,300+,VERY_LOW,40000
Bangladesh Agricultural University (BAU),Bangladesh,1112,300+,VERY_LOW,20000
Damietta University,Egypt,1113,300+,VERY_LOW,20000
Kalasalingam Academy of Research and Education,India,1114,300+,VERY_LOW,20000
South Dakota Mines,United States,1115,300+,VERY_LOW,40000
University of the South Pacific,Fiji,1116,300+,VERY_LOW,20000
University of Peshawar,Pakistan,1117,300+,VERY_LOW,20000
Clarkson University,United States,1118,300+,VERY_LOW,40000
"Adam Mickiewicz University, Poznań",Poland,1119,300+,VERY_LOW,20000
Sechenov University,Russian Federation,1120,300+,VERY_LOW,20000
"Maulana Abul Kalam Azad University of Technology, West Bengal",India,1121,300+,VERY_LOW,20000
Birla Institute of Technology,India,1122,300+,VERY_LOW,20000
University of Hafr Al Batin,Saudi Arabia,1123,300+,VERY_LOW,20000
Central University of Jammu,India,1124,300+,VERY_LOW,20000
AGH University of Krakow,Poland,1125,300+,VERY_LOW,20000
Multimedia University,Malaysia,1126,300+,VERY_LOW,20000
University of La Laguna,Spain,1127,300+,VERY_LOW,20000
Hazara University Mansehra,Pakistan,1128,300+,VERY_LOW,20000
Cardiff Metropolitan University,United Kingdom,1129,300+,VERY_LOW,30000
Istanbul Gelisim University,Turkey,1130,300+,VERY_LOW,20000
York St John University,United Kingdom,1131,300+,VERY_LOW,30000
Universiti Tunku Abdul Rahman (UTAR),Malaysia,1132,300+,VERY_LOW,20000
Tanta University,Egypt,1133,300+,VERY_LOW,20000
Imam Khomeini International University,Iran,1134,300+,VERY_LOW,20000
Changsha University of Science and Technology,China,1135,300+,VERY_LOW,20000
Novosibirsk State University,Russian Federation,1136,300+,VERY_LOW,20000
Anhui University,China,1137,300+,VERY_LOW,20000
Gonabad University of Medical Sciences,Iran,1138,300+,VERY_LOW,20000
Semnan University,Iran,1139,300+,VERY_LOW,20000
Al-Balqa Applied University,Jordan,1140,300+,VERY_LOW,20000
Silesian University of Technology,Poland,1141,300+,VERY_LOW,20000
New Valley University,Egypt,1142,300+,VERY_LOW,20000
"University of Engineering and Technology, Peshawar",Pakistan,1143,300+,VERY_LOW,20000
Nguyen Tat Thanh University,Vietnam,1144,300+,VERY_LOW,20000
University of Sadat City,Egypt,1145,300+,VERY_LOW,20000
Nova Southeastern University,United States,1146,300+,VERY_LOW,40000
Kanazawa University,Japan,1147,300+,VERY_LOW,20000
Selçuk University,Turkey,1148,300+,VERY_LOW,20000
University of Almería,Spain,1149,300+,VERY_LOW,20000
Suez University,Egypt,1150,300+,VERY_LOW,20000
Bartin University,Turkey,1151,300+,VERY_LOW,20000
University of Tours,France,1152,300+,VERY_LOW,20000
University of Sulaimani,Iraq,1153,300+,VERY_LOW,20000
Fujian Agriculture and Forestry University,China,1154,300+,VERY_LOW,20000
Medical University of Gdańsk,Poland,1155,300+,VERY_LOW,20000
Veltech University,India,1156,300+,VERY_LOW,20000
Izmir Institute of Technology,Turkey,1157,300+,VERY_LOW,20000
National Central University,Taiwan,1158,300+,VERY_LOW,20000
University of South Dakota,United States,1159,300+,VERY_LOW,40000
Chang’an University,China,1160,300+,VERY_LOW,20000
Hamamatsu University School of Medicine,Japan,1161,300+,VERY_LOW,20000
Dr B.R. Ambedkar National Institute of Technology Jalandhar,India,1162,300+,VERY_LOW,20000
Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,1163,300+,VERY_LOW,20000
The Hashemite University,Jordan,1164,300+,VERY_LOW,20000
Northwest University (China),China,1165,300+,VERY_LOW,20000
University of Piraeus,Greece,1166,300+,VERY_LOW,20000
O.P. Jindal Global University,India,1167,300+,VERY_LOW,20000
Taibah University,Saudi Arabia,1168,300+,VERY_LOW,20000
Indraprastha Institute of Information Technology Delhi,India,1169,300+,VERY_LOW,20000
University of Szeged,Hungary,1170,300+,VERY_LOW,20000
University of the Free State,South Africa,1171,300+,VERY_LOW,20000
Jadavpur University,India,1172,300+,VERY_LOW,20000
Moscow Technical University of Communications and Informatics,Russian Federation,1173,300+,VERY_LOW,20000
Riga Technical University,Latvia,1174,300+,VERY_LOW,20000
Minia University,Egypt,1175,300+,VERY_LOW,20000
Firat University,Turkey,1176,300+,VERY_LOW,20000
University of Tarapacá,Chile,1177,300+,VERY_LOW,20000
Bayero University,Nigeria,1178,300+,VERY_LOW,20000
San Diego State University,United States,1179,300+,VERY_LOW,40000
University of Thessaly,Greece,1180,300+,VERY_LOW,20000
Ardabil University of Medical Sciences,Iran,1181,300+,VERY_LOW,20000
University of Bisha,Saudi Arabia,1182,300+,VERY_LOW,20000
Bahria University,Pakistan,1183,300+,VERY_LOW,20000
Aswan University,Egypt,1184,300+,VERY_LOW,20000
University of Bahrain,Bahrain,1185,300+,VERY_LOW,20000
Central University of Haryana,India,1186,300+,VERY_LOW,20000
University of Pécs,Hungary,1187,300+,VERY_LOW,20000
Sumy State University,Ukraine,1188,300+,VERY_LOW,20000
University of South Bohemia in České Budějovice,Czechia,1189,300+,VERY_LOW,20000
Medical University of Warsaw,Poland,1190,300+,VERY_LOW,20000
Kore University of Enna,Italy,1191,300+,VERY_LOW,20000
University of Medicine and Pharmacy of Craiova,Romania,1192,300+,VERY_LOW,20000
Universiti Malaysia Sarawak (UNIMAS),Malaysia,1193,300+,VERY_LOW,20000
Anadolu University,Turkey,1194,300+,VERY_LOW,20000
University of Mohaghegh Ardabili,Iran,1195,300+,VERY_LOW,20000
Institute of Space Technology,Pakistan,1196,300+,VERY_LOW,20000
University of Botswana,Botswana,1197,300+,VERY_LOW,20000
Financial University under the Government of the Russian Federation,Russian Federation,1198,300+,VERY_LOW,20000
Jiangsu University of Science and Technology,China,1199,300+,VERY_LOW,20000
Universitat Internacional de Catalunya,Spain,1200,300+,VERY_LOW,20000
"University of Education, Lahore",Pakistan,1201,300+,VERY_LOW,20000
Universitas Sebelas Maret,Indonesia,1202,300+,VERY_LOW,20000
The New School,United States,1203,300+,VERY_LOW,40000
Tokyo University of Agriculture and Technology,Japan,1204,300+,VERY_LOW,20000
Karunya Institute of Technology and Sciences,India,1205,300+,VERY_LOW,20000
Istanbul University,Turkey,1206,300+,VERY_LOW,20000
Athens University of Economics and Business,Greece,1207,300+,VERY_LOW,20000
University of Jeddah,Saudi Arabia,1208,300+,VERY_LOW,20000
University of Maragheh,Iran,1209,300+,VERY_LOW,20000
Saudi Electronic University,Saudi Arabia,1210,300+,VERY_LOW,20000
Public University of Navarre,Spain,1211,300+,VERY_LOW,20000
Université d’Orléans,France,1212,300+,VERY_LOW,20000
University of Deusto,Spain,1213,300+,VERY_LOW,20000
Poznan University of Medical Sciences,Poland,1214,300+,VERY_LOW,20000
University of Isfahan,Iran,1215,300+,VERY_LOW,20000
Ahmadu Bello University,Nigeria,1216,300+,VERY_LOW,20000
"Dr D. Y. Patil Vidyapeeth, Pune",India,1217,300+,VERY_LOW,20000
National University of Computer and Emerging Sciences,Pakistan,1218,300+,VERY_LOW,20000
Bu-Ali Sina University,Iran,1219,300+,VERY_LOW,20000
Hungarian University of Agriculture and Life Sciences,Hungary,1220,300+,VERY_LOW,20000
"University of Occupational and Environmental Health, Japan",Japan,1221,300+,VERY_LOW,20000
Hakim Sabzevari University,Iran,1222,300+,VERY_LOW,20000
Azarbaijan Shahid Madani University,Iran,1223,300+,VERY_LOW,20000
Kurume University,Japan,1224,300+,VERY_LOW,20000
Fayoum University,Egypt,1225,300+,VERY_LOW,20000
Ankara University,Turkey,1226,300+,VERY_LOW,20000
Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,Romania,1227,300+,VERY_LOW,20000
Universitas Gadjah Mada,Indonesia,1228,300+,VERY_LOW,20000
Hindustan Institute of Technology and Science,India,1229,300+,VERY_LOW,20000
I. Horbachevsky Ternopil National Medical University,Ukraine,1230,300+,VERY_LOW,20000
Aichi Medical University,Japan,1231,300+,VERY_LOW,20000
University of Ilorin,Nigeria,1232,300+,VERY_LOW,20000
University of Sargodha,Pakistan,1233,300+,VERY_LOW,20000
Galgotias University,India,1234,300+,VERY_LOW,20000
Benha University,Egypt,1235,300+,VERY_LOW,20000
Ibn Tofaïl University,Morocco,1236,300+,VERY_LOW,20000
"Shivaji University, Kolhapur",India,1237,300+,VERY_LOW,20000
Bharathidasan University,India,1238,300+,VERY_LOW,20000
Zhejiang University of Finance and Economics,China,1239,300+,VERY_LOW,20000
Nitte (Deemed to be University),India,1240,300+,VERY_LOW,20000
Shahrood University of Technology,Iran,1241,300+,VERY_LOW,20000
Persian Gulf University,Iran,1242,300+,VERY_LOW,20000
Walailak University,Thailand,1243,300+,VERY_LOW,20000
Istanbul University-Cerrahpaşa,Turkey,1244,300+,VERY_LOW,20000
Huaqiao University,China,1245,300+,VERY_LOW,20000
Al-Baha University,Saudi Arabia,1246,300+,VERY_LOW,20000
Sahand University of Technology,Iran,1247,300+,VERY_LOW,20000
University of Las Palmas de Gran Canaria,Spain,1248,300+,VERY_LOW,20000
Kansai Medical University,Japan,1249,300+,VERY_LOW,20000
Oakland University,United States,1250,300+,VERY_LOW,40000
National Taipei University of Technology,Taiwan,1251,300+,VERY_LOW,20000
VSB - Technical University of Ostrava,Czechia,1252,300+,VERY_LOW,20000
Yaşar University,Turkey,1253,300+,VERY_LOW,20000
University of Tripoli,Libya,1254,300+,VERY_LOW,20000
University of West London,United Kingdom,1255,300+,VERY_LOW,30000
Technological University Dublin,Ireland,1256,300+,VERY_LOW,20000
University of Northern British Columbia (UNBC),Canada,1257,300+,VERY_LOW,25000
Federal University of São Carlos,Brazil,1258,300+,VERY_LOW,20000
National Chung Hsing University,Taiwan,1259,300+,VERY_LOW,20000
University of A Coruña,Spain,1260,300+,VERY_LOW,20000
Wilfrid Laurier University,Canada,1261,300+,VERY_LOW,25000
Czech Technical University in Prague,Czechia,1262,300+,VERY_LOW,20000
University of Duhok,Iraq,1263,300+,VERY_LOW,20000
Texas State University,United States,1264,300+,VERY_LOW,40000
Nicolaus Copernicus University in Toruń,Poland,1265,300+,VERY_LOW,20000
King Mongkut's University of Technology North Bangkok,Thailand,1266,300+,VERY_LOW,20000
University of Wrocław,Poland,1267,300+,VERY_LOW,20000
Chittagong University of Engineering & Technology,Bangladesh,1268,300+,VERY_LOW,20000
University of Zagreb,Croatia,1269,300+,VERY_LOW,20000
Hangzhou Dianzi University (HDU),China,1270,300+,VERY_LOW,20000
Akdeniz University,Turkey,1271,300+,VERY_LOW,20000
Chaudhary Charan Singh University - Meerut,India,1272,300+,VERY_LOW,20000
Rowan University,United States,1273,300+,VERY_LOW,40000
Ilam University,Iran,1274,300+,VERY_LOW,20000
Suez Canal University,Egypt,1275,300+,VERY_LOW,20000
University of South Africa,South Africa,1276,300+,VERY_LOW,20000
Necmettin Erbakan University,Turkey,1277,300+,VERY_LOW,20000
Khon Kaen University,Thailand,1278,300+,VERY_LOW,20000
Banasthali University,India,1279,300+,VERY_LOW,20000
Pondicherry University,India,1280,300+,VERY_LOW,20000
University of Trás-os-Montes and Alto Douro,Portugal,1281,300+,VERY_LOW,20000
Osmania University,India,1282,300+,VERY_LOW,20000
Nagoya City University,Japan,1283,300+,VERY_LOW,20000
Xiangtan University,China,1284,300+,VERY_LOW,20000
Icesi University,Colombia,1285,300+,VERY_LOW,20000
Kwame Nkrumah University of Science and Technology,Ghana,1286,300+,VERY_LOW,20000
Kuwait University,Kuwait,1287,300+,VERY_LOW,20000
October 6 University,Egypt,1288,300+,VERY_LOW,20000
Soonchunhyang University,South Korea,1289,300+,VERY_LOW,20000
Duzce University,Turkey,1290,300+,VERY_LOW,20000
Pukyong National University,South Korea,1291,300+,VERY_LOW,20000
"Amity University, Gurugram",India,1292,300+,VERY_LOW,20000
Democritus University of Thrace,Greece,1293,300+,VERY_LOW,20000
University of Urbino Carlo Bo,Italy,1294,300+,VERY_LOW,20000
National Chengchi University,Taiwan,1295,300+,VERY_LOW,20000
Menoufia University,Egypt,1296,300+,VERY_LOW,20000
Seoul National University of Science and Technology (SeoulTech),South Korea,1297,300+,VERY_LOW,20000
University of Anbar,Iraq,1298,300+,VERY_LOW,20000
University of Engineering & Technology (UET) Lahore,Pakistan,1299,300+,VERY_LOW,20000
Assiut University,Egypt,1300,300+,VERY_LOW,20000
Gebze Technical University,Turkey,1301,300+,VERY_LOW,20000
Miguel Hernández University of Elche,Spain,1302,300+,VERY_LOW,20000
Hyogo Medical University,Japan,1303,300+,VERY_LOW,20000
Niigata University,Japan,1304,300+,VERY_LOW,20000
DIT University,India,1305,300+,VERY_LOW,20000
Diego Portales University,Chile,1306,300+,VERY_LOW,20000
Mawlana Bhashani Science and Technology University,Bangladesh,1307,300+,VERY_LOW,20000
Universitas Airlangga,Indonesia,1308,300+,VERY_LOW,20000
Salahaddin University–Erbil,Iraq,1309,300+,VERY_LOW,20000
Guru Jambheshwar University of Science and Technology,India,1310,300+,VERY_LOW,20000
Austral University,Argentina,1311,300+,VERY_LOW,20000
Biruni University,Turkey,1312,300+,VERY_LOW,20000
Babeş-Bolyai University,Romania,1313,300+,VERY_LOW,20000
Port Said University,Egypt,1314,300+,VERY_LOW,20000
"Indian Institute of Science Education and Research, Pune",India,1315,300+,VERY_LOW,20000
Brno University of Technology,Czechia,1316,300+,VERY_LOW,20000
Brock University,Canada,1317,300+,VERY_LOW,25000
Inönü University,Turkey,1318,300+,VERY_LOW,20000
Kindai University,Japan,1319,300+,VERY_LOW,20000
Mohammed V University of Rabat,Morocco,1320,300+,VERY_LOW,20000
Hitotsubashi University,Japan,1321,300+,VERY_LOW,20000
Noakhali Science and Technology University (NSTU),Bangladesh,1322,300+,VERY_LOW,20000
Institut Teknologi Bandung,Indonesia,1323,300+,VERY_LOW,20000
Universidade Federal do Paraná (UFPR),Brazil,1324,300+,VERY_LOW,20000
The University of Electro-Communications,Japan,1325,300+,VERY_LOW,20000
Comenius University Bratislava,Slovakia,1326,300+,VERY_LOW,20000
Hallym University,South Korea,1327,300+,VERY_LOW,20000
Al-Hussein Bin Talal University,Jordan,1328,300+,VERY_LOW,20000
Mendel University in Brno,Czechia,1329,300+,VERY_LOW,20000
Sathyabama Institute of Science and Technology,India,1330,300+,VERY_LOW,20000
National Institute of Technology Delhi,India,1331,300+,VERY_LOW,20000
"Mehran University of Engineering and Technology, Jamshoro, Pakistan",Pakistan,1332,300+,VERY_LOW,20000
University of Sfax,Tunisia,1333,300+,VERY_LOW,20000
Wuhan Textile University,China,1334,300+,VERY_LOW,20000
University of Ioannina,Greece,1335,300+,VERY_LOW,20000
University of Žilina,Slovakia,1336,300+,VERY_LOW,20000
Maharishi Markandeshwar University (MMU),India,1337,300+,VERY_LOW,20000
University of Évora,Portugal,1338,300+,VERY_LOW,20000
University of León,Spain,1339,300+,VERY_LOW,20000
Yazd University,Iran,1340,300+,VERY_LOW,20000
University of Guilan,Iran,1341,300+,VERY_LOW,20000
"University of Chemistry and Technology, Prague",Czechia,1342,300+,VERY_LOW,20000
HES-SO University of Applied Sciences and Arts of Western Switzerland,Switzerland,1343,300+,VERY_LOW,20000
University of Mauritius,Mauritius,1344,300+,VERY_LOW,20000
Université de Poitiers,France,1345,300+,VERY_LOW,20000
Kangwon National University,South Korea,1346,300+,VERY_LOW,20000
Chaoyang University of Technology,Taiwan,1347,300+,VERY_LOW,20000
University of Nebraska Omaha,United States,1348,300+,VERY_LOW,40000
University of Technology of Compiègne,France,1349,300+,VERY_LOW,20000
Ibn Zohr University,Morocco,1350,300+,VERY_LOW,20000
Gazi University,Turkey,1351,300+,VERY_LOW,20000
SWPS University,Poland,1352,300+,VERY_LOW,20000
Canterbury Christ Church University,United Kingdom,1353,300+,VERY_LOW,30000
Manipal University Jaipur,India,1354,300+,VERY_LOW,20000
University of Chittagong,Bangladesh,1355,300+,VERY_LOW,20000
Universidad San Francisco de Quito,Ecuador,1356,300+,VERY_LOW,20000
"Vietnam National University, Hanoi",Vietnam,1357,300+,VERY_LOW,20000
Nagasaki University,Japan,1358,300+,VERY_LOW,20000
Urmia University of Technology,Iran,1359,300+,VERY_LOW,20000
Kohat University of Science and Technology,Pakistan,1360,300+,VERY_LOW,20000
Tomas Bata University in Zlín,Czechia,1361,300+,VERY_LOW,20000
Changzhou University,China,1362,300+,VERY_LOW,20000
Immanuel Kant Baltic Federal University,Russian Federation,1363,300+,VERY_LOW,20000
Chung Yuan Christian University,Taiwan,1364,300+,VERY_LOW,20000
University of Staffordshire,United Kingdom,1365,300+,VERY_LOW,30000
Gifu University,Japan,1366,300+,VERY_LOW,20000
Lorestan University,Iran,1367,300+,VERY_LOW,20000
National Kaohsiung University of Science and Technology,Taiwan,1368,300+,VERY_LOW,20000
Indian Institute of Science Education and Research Bhopal,India,1369,300+,VERY_LOW,20000
University of Rouen Normandie,France,1370,300+,VERY_LOW,20000
University of Cadiz,Spain,1371,300+,VERY_LOW,20000
University of Valladolid,Spain,1372,300+,VERY_LOW,20000
University of Malaga,Spain,1373,300+,VERY_LOW,20000
University of Jendouba,Tunisia,1374,300+,VERY_LOW,20000
Woosong University,South Korea,1375,300+,VERY_LOW,20000
University of the Philippines,Philippines,1376,300+,VERY_LOW,20000
University of Winchester,United Kingdom,1377,300+,VERY_LOW,30000
Jiangxi Normal University (JXNU),China,1378,300+,VERY_LOW,20000
Universitas Padjadjaran,Indonesia,1379,300+,VERY_LOW,20000
University of Concepción,Chile,1380,300+,VERY_LOW,20000
University Rey Juan Carlos,Spain,1381,300+,VERY_LOW,20000
Toyohashi University of Technology (TUT),Japan,1382,300+,VERY_LOW,20000
Sakarya University,Turkey,1383,300+,VERY_LOW,20000
Jeju National University,South Korea,1384,300+,VERY_LOW,20000
Gyeongsang National University,South Korea,1385,300+,VERY_LOW,20000
"Visvesvaraya National Institute of Technology, Nagpur",India,1386,300+,VERY_LOW,20000
Medical University of Silesia in Katowice,Poland,1387,300+,VERY_LOW,20000
Medical University of Lublin,Poland,1388,300+,VERY_LOW,20000
University of Maribor,Slovenia,1389,300+,VERY_LOW,20000
The Jikei University School of Medicine,Japan,1390,300+,VERY_LOW,20000
Ege University,Turkey,1391,300+,VERY_LOW,20000
Kashan University of Medical Sciences and Health Services,Iran,1392,300+,VERY_LOW,20000
Universidade Eduardo Mondlane,Mozambique,1393,300+,VERY_LOW,20000
Fu Jen Catholic University,Taiwan,1394,300+,VERY_LOW,20000
Ho Chi Minh City Open University,Vietnam,1395,300+,VERY_LOW,20000
Nelson Mandela University,South Africa,1396,300+,VERY_LOW,20000
"Federal University of Technology, Minna",Nigeria,1397,300+,VERY_LOW,20000
University of Nigeria Nsukka,Nigeria,1398,300+,VERY_LOW,20000
Prince of Songkla University,Thailand,1399,300+,VERY_LOW,20000
University of Burgos,Spain,1400,300+,VERY_LOW,20000
South Valley University (Egypt),Egypt,1401,300+,VERY_LOW,20000
Tezpur University,India,1402,300+,VERY_LOW,20000
Damanhour University,Egypt,1403,300+,VERY_LOW,20000
University of Mazandaran,Iran,1404,300+,VERY_LOW,20000
Medical University of Bialystok,Poland,1405,300+,VERY_LOW,20000
University of Colima,Mexico,1406,300+,VERY_LOW,20000
Universitas Muhammadiyah Surakarta,Indonesia,1407,300+,VERY_LOW,20000
Ariel University,Israel,1408,300+,VERY_LOW,20000
Adolfo Ibáñez University,Chile,1409,300+,VERY_LOW,20000
"MNS University of Agriculture, Multan",Pakistan,1410,300+,VERY_LOW,20000
Slovak University of Agriculture in Nitra,Slovakia,1411,300+,VERY_LOW,20000
University of Antioquia,Colombia,1412,300+,VERY_LOW,20000
Shahid Chamran University of Ahvaz,Iran,1413,300+,VERY_LOW,20000
