name,country,rank,ranking_band,competitiveness,avg_tuition_usd
Ulster University,United Kingdom,650,300+,VERY_LOW,30000
Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA),Malaysia,651,300+,VERY_LOW,20000
Université Côte d'Azur,France,652,300+,VERY_LOW,20000
University of Tabriz,Iran,653,300+,VERY_LOW,20000
University of Calabria,Italy,654,300+,VERY_LOW,20000
Babol Noshirvani University of Technology,Iran,655,300+,VERY_LOW,20000
University of L’Aquila,Italy,656,300+,VERY_LOW,20000
East China University of Science and Technology,China,657,300+,VERY_LOW,20000
COMSATS University Islamabad,Pakistan,658,300+,VERY_LOW,20000
Concordia University,Canada,659,300+,VERY_LOW,25000
Egypt-Japan University of Science and Technology (E-JUST),Egypt,660,300+,VERY_LOW,20000
Management & Science University (MSU),Malaysia,661,300+,VERY_LOW,20000
"Amity University, Noida",India,662,300+,VERY_LOW,20000
University of Minho,Portugal,663,300+,VERY_LOW,20000
Isfahan University of Technology,Iran,664,300+,VERY_LOW,20000
Panjab University,India,665,300+,VERY_LOW,20000
University of Udine,Italy,666,300+,VERY_LOW,20000
Jiangnan University,China,667,300+,VERY_LOW,20000
Tomsk State University,Russian Federation,668,300+,VERY_LOW,20000
UiT The Arctic University of Norway,Norway,669,300+,VERY_LOW,20000
Universitat Politècnica de Catalunya,Spain,670,300+,VERY_LOW,20000
Majmaah University,Saudi Arabia,671,300+,VERY_LOW,20000
Tallinn University of Technology,Estonia,672,300+,VERY_LOW,20000
Universiti Tenaga Nasional (UNITEN),Malaysia,673,300+,VERY_LOW,20000
Edinburgh Napier University,United Kingdom,674,300+,VERY_LOW,30000
ISCTE-University Institute of Lisbon,Portugal,675,300+,VERY_LOW,20000
University of Lille,France,676,300+,VERY_LOW,20000
Dhofar University,Oman,677,300+,VERY_LOW,20000
Oklahoma State University,United States,678,300+,VERY_LOW,40000
Ocean University of China,China,679,300+,VERY_LOW,20000
"UEES, Espiritu Santo University",Ecuador,680,300+,VERY_LOW,20000
University of Cagliari,Italy,681,300+,VERY_LOW,20000
Claude Bernard University Lyon 1,France,682,300+,VERY_LOW,20000
Nantes Université,France,683,300+,VERY_LOW,20000
Sukkur IBA University,Pakistan,684,300+,VERY_LOW,20000
Coventry University,United Kingdom,685,300+,VERY_LOW,30000
Aberystwyth University,United Kingdom,686,300+,VERY_LOW,30000
Toronto Metropolitan University,Canada,687,300+,VERY_LOW,25000
Amedeo Avogadro University of Eastern Piedmont,Italy,688,300+,VERY_LOW,20000
Symbiosis International University,India,689,300+,VERY_LOW,20000
Paderborn University,Germany,690,300+,VERY_LOW,2000
Manipal Academy of Higher Education,India,691,300+,VERY_LOW,20000
Thapar Institute of Engineering and Technology,India,692,300+,VERY_LOW,20000
Zhejiang Normal University,China,693,300+,VERY_LOW,20000
Central University of Punjab,India,694,300+,VERY_LOW,20000
Duy Tan University,Vietnam,695,300+,VERY_LOW,20000
